"Document ChEMBL ID";"Journal";"Source ID";"Source Description";"Title";"PubMed ID";"DOI";"Patent ID";"Authors";"Year";"Volume";"Issue";"First Page";"Last Page";"Document Type";"Abstract";"Compounds";"Targets";"Activities";"ChEMBL Release";"ChEMBL Release Creation Date"
"CHEMBL4513144";"";"40";"CO-ADD Antimicrobial Screening";"CO-ADD screening of University of Central Lancashire (UK) compounds";"";"10.6019/CHEMBL4513144";"";"Johannes Zuegg, Alysha Elliott, Maite Amado, Emma Cowie, Ali Hinton, Geraldine Kaeslin, Angela Kavanagh, Anne Kunert, Gabriell Lowe, Soumya Ramu, Janet Reid, Robin Trauer, Mathilde Desselle, Ruth Neale, Karl Hansford, Mark Blascovich, Matthew Cooper";"";"";"";"";"";"DATASET";"This data set was generated by screening University of Central Lancashire compounds in the CO-ADD assays. CO-ADD, The Community for Open Antimicrobial Drug Discovery, is a global open-access screening initiative launched in February 2015 to uncover significant and rich chemical diversity held outside of corporate screening collections. CO-ADD provides unencumbered free antimicrobial screening for any interested academic researcher.  CO-ADD has been recognised as a novel approach in the fight against superbugs by the Wellcome Trust, who have provided funding through their Strategic Awards initiative (for more information on CO-ADD see: Helping Chemists Discover New Antibiotics (2015) Mark A. Blaskovich, Johannes Zuegg, Alysha G. Elliott, Matthew A. Cooper, DOI:10.1021/acsinfecdis.5b00044).";"1";"8";"8";"CHEMBL_28";"2021-01-15"
"CHEMBL4513145";"";"40";"CO-ADD Antimicrobial Screening";"CO-ADD screening of Biotechnology Research Centre (C.R.B.t) (Algeria) compounds";"";"10.6019/CHEMBL4513145";"";"Johannes Zuegg, Alysha Elliott, Maite Amado, Emma Cowie, Ali Hinton, Geraldine Kaeslin, Angela Kavanagh, Anne Kunert, Gabriell Lowe, Soumya Ramu, Janet Reid, Robin Trauer, Mathilde Desselle, Ruth Neale, Karl Hansford, Mark Blascovich, Matthew Cooper";"";"";"";"";"";"DATASET";"This data set was generated by screening Biotechnology Research Centre (C.R.B.t) compounds in the CO-ADD assays. CO-ADD, The Community for Open Antimicrobial Drug Discovery, is a global open-access screening initiative launched in February 2015 to uncover significant and rich chemical diversity held outside of corporate screening collections. CO-ADD provides unencumbered free antimicrobial screening for any interested academic researcher.  CO-ADD has been recognised as a novel approach in the fight against superbugs by the Wellcome Trust, who have provided funding through their Strategic Awards initiative (for more information on CO-ADD see: Helping Chemists Discover New Antibiotics (2015) Mark A. Blaskovich, Johannes Zuegg, Alysha G. Elliott, Matthew A. Cooper, DOI:10.1021/acsinfecdis.5b00044).";"17";"8";"229";"CHEMBL_28";"2021-01-15"
"CHEMBL3301470";"";"17";"Medicines for Malaria Venture (MMV) Malaria Box";"MMV Malaria Box screening against Plasmodium falciparum Deoxyhypusine hydroxylase";"";"10.6019/CHEMBL3301470";"";"Kaiser Lab, University Hospital Essen, Germany.";"";"";"";"";"";"DATASET";"";"3";"1";"3";"CHEMBL_20";"2015-01-14"
"CHEMBL4513141";"";"40";"CO-ADD Antimicrobial Screening";"CO-ADD screening of NIH (USA) - Clinical Collection";"";"10.6019/CHEMBL4513141";"";"Johannes Zuegg, Alysha Elliott, Maite Amado, Emma Cowie, Ali Hinton, Geraldine Kaeslin, Angela Kavanagh, Anne Kunert, Gabriell Lowe, Soumya Ramu, Janet Reid, Robin Trauer, Mathilde Desselle, Ruth Neale, Karl Hansford, Mark Blascovich, Matthew Cooper";"";"";"";"";"";"DATASET";"This data set was generated by screening the NIH Clinical Collection compounds in the CO-ADD assays. CO-ADD, The Community for Open Antimicrobial Drug Discovery, is a global open-access screening initiative launched in February 2015 to uncover significant and rich chemical diversity held outside of corporate screening collections. CO-ADD provides unencumbered free antimicrobial screening for any interested academic researcher.  CO-ADD has been recognised as a novel approach in the fight against superbugs by the Wellcome Trust, who have provided funding through their Strategic Awards initiative (for more information on CO-ADD see: Helping Chemists Discover New Antibiotics (2015) Mark A. Blaskovich, Johannes Zuegg, Alysha G. Elliott, Matthew A. Cooper, DOI:10.1021/acsinfecdis.5b00044).";"699";"8";"4991";"CHEMBL_28";"2021-01-15"
"CHEMBL4513137";"";"40";"CO-ADD Antimicrobial Screening";"CO-ADD screening of University of Manchester (UK) compounds";"";"10.6019/CHEMBL4513137";"";"Johannes Zuegg, Alysha Elliott, Maite Amado, Emma Cowie, Ali Hinton, Geraldine Kaeslin, Angela Kavanagh, Anne Kunert, Gabriell Lowe, Soumya Ramu, Janet Reid, Robin Trauer, Mathilde Desselle, Ruth Neale, Karl Hansford, Mark Blascovich, Matthew Cooper";"";"";"";"";"";"DATASET";"This data set was generated by screening University of Manchester compounds in the CO-ADD assays. CO-ADD, The Community for Open Antimicrobial Drug Discovery, is a global open-access screening initiative launched in February 2015 to uncover significant and rich chemical diversity held outside of corporate screening collections. CO-ADD provides unencumbered free antimicrobial screening for any interested academic researcher.  CO-ADD has been recognised as a novel approach in the fight against superbugs by the Wellcome Trust, who have provided funding through their Strategic Awards initiative (for more information on CO-ADD see: Helping Chemists Discover New Antibiotics (2015) Mark A. Blaskovich, Johannes Zuegg, Alysha G. Elliott, Matthew A. Cooper, DOI:10.1021/acsinfecdis.5b00044).";"33";"8";"237";"CHEMBL_28";"2021-01-15"
"CHEMBL4513135";"";"40";"CO-ADD Antimicrobial Screening";"CO-ADD screening of IQOG CSIS (Spain) compounds";"";"10.6019/CHEMBL4513135";"";"Johannes Zuegg, Alysha Elliott, Maite Amado, Emma Cowie, Ali Hinton, Geraldine Kaeslin, Angela Kavanagh, Anne Kunert, Gabriell Lowe, Soumya Ramu, Janet Reid, Robin Trauer, Mathilde Desselle, Ruth Neale, Karl Hansford, Mark Blascovich, Matthew Cooper";"";"";"";"";"";"DATASET";"This data set was generated by screening IQOG CSIS compounds in the CO-ADD assays. CO-ADD, The Community for Open Antimicrobial Drug Discovery, is a global open-access screening initiative launched in February 2015 to uncover significant and rich chemical diversity held outside of corporate screening collections. CO-ADD provides unencumbered free antimicrobial screening for any interested academic researcher.  CO-ADD has been recognised as a novel approach in the fight against superbugs by the Wellcome Trust, who have provided funding through their Strategic Awards initiative (for more information on CO-ADD see: Helping Chemists Discover New Antibiotics (2015) Mark A. Blaskovich, Johannes Zuegg, Alysha G. Elliott, Matthew A. Cooper, DOI:10.1021/acsinfecdis.5b00044).";"614";"8";"4429";"CHEMBL_28";"2021-01-15"
"CHEMBL4296183";"";"40";"CO-ADD Antimicrobial Screening";"CO-ADD screening of NIH NCI Natural Product Set III";"";"10.6019/CHEMBL4296183";"";"Johannes Zuegg, Alysha Elliott, Maite Amado, Emma Cowie, Ali Hinton, Geraldine Kaeslin, Angela Kavanagh, Anne Kunert, Gabriell Lowe, Soumya Ramu, Janet Reid, Robin Trauer, Mathilde Desselle, Ruth Neale, Karl Hansford, Mark Blascovich, Matthew Cooper";"";"";"";"";"";"DATASET";"This data set was generated by screening the NIH NCI Natural Product Set III compounds in the CO-ADD assays. CO-ADD, The Community for Open Antimicrobial Drug Discovery, is a global open-access screening initiative launched in February 2015 to uncover significant and rich chemical diversity held outside of corporate screening collections. CO-ADD provides unencumbered free antimicrobial screening for any interested academic researcher.  CO-ADD has been recognised as a novel approach in the fight against superbugs by the Wellcome Trust, who have provided funding through their Strategic Awards initiative (for more information on CO-ADD see: Helping Chemists Discover New Antibiotics (2015) Mark A. Blaskovich, Johannes Zuegg, Alysha G. Elliott, Matthew A. Cooper, DOI:10.1021/acsinfecdis.5b00044).";"117";"8";"850";"CHEMBL_26";"2020-01-10"
"CHEMBL5303765";"";"54";"SGC Frankfurt - Donated Chemical Probes";"Data for DCP probe BAY-7081";"";"10.6019/CHEMBL5303765";"";"SGC Frankfurt";"2023";"";"";"";"";"DATASET";"SGC Frankfurt donated chemical probe project: BAY-7081 was donated by Bayer. Website: https://www.sgc-ffm.uni-frankfurt.de/#!specificprobeoverview/BAY-7081. Control: BAY-7424. References: 1. Meibom, Daniel, Sina Micus, Anna Lena Andreevski, Sonja Anlauf, Pamela Bogner, Clemens-Jeremias von Buehler, André P. Dieskau, Jan Dreher, Frank Eitner, Daniela Fliegner, Markus Follmann, Kersten Matthias Gericke, Stefanie Maassen, Jutta Meyer, Karl-Heinz Schlemmer, Holger Steuber, Adrian Tersteegen, and Frank Wunder. 2022. ‘BAY-7081: A Potent, Selective, and Orally Bioavailable Cyanopyridone-Based PDE9A Inhibitor’. Journal of Medicinal Chemistry 65(24):16420–31. PMID: 36475653.";"2";"218";"698";"CHEMBL_34";"2024-03-28"
"CHEMBL5058648";"";"54";"SGC Frankfurt - Donated Chemical Probes";"Data for DCP probe SAFit2";"";"10.6019/CHEMBL5058648";"";"SGC Frankfurt";"2022";"";"";"";"";"DATASET";"SGC Frankfurt donated chemical probe project: SAFit2 was donated by TU Darmstadt. Website: https://www.sgc-ffm.uni-frankfurt.de/#!specificprobeoverview/SAFit2. Control: ddSAFit2. References: 1. Gaali, Steffen, Alexander Kirschner, Serena Cuboni, Jakob Hartmann, Christian Kozany, Georgia Balsevich, Christian Namendorf, Paula Fernandez-Vizarra, Claudia Sippel, Anthony S. Zannas, Rika Draenert, Elisabeth B. Binder, Osborne F. X. Almeida, Gerd Rühter, Manfred Uhr, Mathias V. Schmidt, Chadi Touma, Andreas Bracher, and Felix Hausch. 2015. ‘Selective Inhibitors of the FK506-Binding Protein 51 by Induced Fit’. Nature Chemical Biology 11(1):33–37. PMID: 25436518. 2. Gaali, Steffen, Xixi Feng, Andreas Hähle, Claudia Sippel, Andreas Bracher, and Felix Hausch. 2016. ‘Rapid, Structure-Based Exploration of Pipecolic Acid Amides as Novel Selective Antagonists of the FK506-Binding Protein 51’. Journal of Medicinal Chemistry 59(6):2410–22. PMID: 26954324. 3. Gnatzy, Monika T., Thomas M. Geiger, Angela Kuehn, Niklas Gutfreund, Michael Walz, Jürgen M. Kolos, and Felix Hausch. 2021. ‘Development of NanoBRET‐Binding Assays for FKBP‐Ligand Profiling in Living Cells’. ChemBioChem 22(13):2257–61. doi: . PMID: 33887102.";"2";"50";"122";"CHEMBL_32";"2023-01-26"
"CHEMBL4513155";"";"40";"CO-ADD Antimicrobial Screening";"CO-ADD screening of University of Sydney (Australia) compounds";"";"10.6019/CHEMBL4513155";"";"Johannes Zuegg, Alysha Elliott, Maite Amado, Emma Cowie, Ali Hinton, Geraldine Kaeslin, Angela Kavanagh, Anne Kunert, Gabriell Lowe, Soumya Ramu, Janet Reid, Robin Trauer, Mathilde Desselle, Ruth Neale, Karl Hansford, Mark Blascovich, Matthew Cooper";"";"";"";"";"";"DATASET";"This data set was generated by screening University of Sydney compounds in the CO-ADD assays. CO-ADD, The Community for Open Antimicrobial Drug Discovery, is a global open-access screening initiative launched in February 2015 to uncover significant and rich chemical diversity held outside of corporate screening collections. CO-ADD provides unencumbered free antimicrobial screening for any interested academic researcher.  CO-ADD has been recognised as a novel approach in the fight against superbugs by the Wellcome Trust, who have provided funding through their Strategic Awards initiative (for more information on CO-ADD see: Helping Chemists Discover New Antibiotics (2015) Mark A. Blaskovich, Johannes Zuegg, Alysha G. Elliott, Matthew A. Cooper, DOI:10.1021/acsinfecdis.5b00044).";"12";"9";"90";"CHEMBL_28";"2021-01-15"
