"Document ChEMBL ID";"Journal";"Source ID";"Source Description";"Title";"PubMed ID";"DOI";"Patent ID";"Authors";"Year";"Volume";"Issue";"First Page";"Last Page";"Document Type";"Abstract";"Compounds";"Targets";"Activities";"ChEMBL Release";"ChEMBL Release Creation Date"
"CHEMBL2364335";"";"21";"Deposited Supplementary Bioactivity Data";"Structure-activity relationship data for chemical series of achiral agonists of the ghrelin (growth hormone secretagogue) receptor  (Supplementary Bioactivity Data for publication CHEMBL1140573)";"";"10.6019/CHEMBL2364335";"";"Senger S, Chau CH, Wall ID, Blaney E, Gaiba A, King NP, Takle AK, Witherington J";"";"";"";"";"";"DATASET";"Supplementary bioactivity data for the GlaxoSmithKline (GSK) publication Bioorg. Med. Chem. Lett. 2007, 17, 6584-6587 (ChEMBL Doc ID: CHEMBL1140573): pEC50 values for 157 compounds that have been tested in the Ghrelin receptor agonist MACMAM FLIPR  assay (ChEMBL Assay ID: CHEMBL941945) described in reference 14 of the aforementioned publication. All compounds have been tested at least four times and have been reported as being active in all test occasions. The standard deviation for all results is less than or equal to 0.5.";"157";"1";"157";"CHEMBL_17";"2013-08-29"
"CHEMBL5303304";"";"55";"EUbOPEN Chemogenomic Library";"EUbOPEN Chemogenomics Library - IncuCyte";"";"10.6019/CHEMBL5303304";"";"EUbOPEN";"2023";"";"";"";"";"DATASET";"Cell Viability-IncuCyte assay results for EUbOPEN Chemogenomics Library: The InucyCyte Viability assay is used to investigate cytotoxicity over 24h. This first determinant as an in cell quality control of different compounds is based on confluence analysis by brightfield acquisition. Compounds are classfiied according to their calculated growth rate in healhty, cytostatic or cytotoxic.";"900";"3";"16225";"CHEMBL_34";"2024-03-28"
"CHEMBL5303300";"";"55";"EUbOPEN Chemogenomic Library";"EUbOPEN Chemogenomics Library - Multiplex";"";"10.6019/CHEMBL5303300";"";"EUbOPEN";"2023";"";"";"";"";"DATASET";"Multiplex assay results for EUbOPEN Chemogenomics Library: The multiplex high-content screen is used to investigate the cytotoxicity of compounds in different cell lines such as HEK293T, U2OS, and MRC-9 cells. This assay, detects compound properties like precipitation or intrinsic fluorescence, cell viability as well as the effect on tubulin, mitochondria or membrane integrity by staining living cells with different fluorescent dyes. Different compound libraries containing of probes or chemogenomic compounds are tested over a kinetic measurement at 0h, 12h, 24h and 48h. Cell sub-populations are gated by a machine-learning-guided algorithm using the CellPathfinder Software (Yokogawa).";"124";"3";"113981";"CHEMBL_34";"2024-03-28"
"CHEMBL4513160";"";"40";"CO-ADD Antimicrobial Screening";"CO-ADD screening of MMV (CH) - Small Polar Library";"";"10.6019/CHEMBL4513160";"";"Johannes Zuegg, Alysha Elliott, Maite Amado, Emma Cowie, Ali Hinton, Geraldine Kaeslin, Angela Kavanagh, Anne Kunert, Gabriell Lowe, Soumya Ramu, Janet Reid, Robin Trauer, Mathilde Desselle, Ruth Neale, Karl Hansford, Mark Blascovich, Matthew Cooper";"";"";"";"";"";"DATASET";"This data set was generated by screening MMV Small Polar Library compounds in the CO-ADD assays. CO-ADD, The Community for Open Antimicrobial Drug Discovery, is a global open-access screening initiative launched in February 2015 to uncover significant and rich chemical diversity held outside of corporate screening collections. CO-ADD provides unencumbered free antimicrobial screening for any interested academic researcher.  CO-ADD has been recognised as a novel approach in the fight against superbugs by the Wellcome Trust, who have provided funding through their Strategic Awards initiative (for more information on CO-ADD see: Helping Chemists Discover New Antibiotics (2015) Mark A. Blaskovich, Johannes Zuegg, Alysha G. Elliott, Matthew A. Cooper, DOI:10.1021/acsinfecdis.5b00044).";"18005";"2";"54015";"CHEMBL_28";"2021-01-15"
"CHEMBL4513154";"";"40";"CO-ADD Antimicrobial Screening";"CO-ADD screening of Jain University (India) compounds";"";"10.6019/CHEMBL4513154";"";"Johannes Zuegg, Alysha Elliott, Maite Amado, Emma Cowie, Ali Hinton, Geraldine Kaeslin, Angela Kavanagh, Anne Kunert, Gabriell Lowe, Soumya Ramu, Janet Reid, Robin Trauer, Mathilde Desselle, Ruth Neale, Karl Hansford, Mark Blascovich, Matthew Cooper";"";"";"";"";"";"DATASET";"This data set was generated by screening Jain University compounds in the CO-ADD assays. CO-ADD, The Community for Open Antimicrobial Drug Discovery, is a global open-access screening initiative launched in February 2015 to uncover significant and rich chemical diversity held outside of corporate screening collections. CO-ADD provides unencumbered free antimicrobial screening for any interested academic researcher.  CO-ADD has been recognised as a novel approach in the fight against superbugs by the Wellcome Trust, who have provided funding through their Strategic Awards initiative (for more information on CO-ADD see: Helping Chemists Discover New Antibiotics (2015) Mark A. Blaskovich, Johannes Zuegg, Alysha G. Elliott, Matthew A. Cooper, DOI:10.1021/acsinfecdis.5b00044).";"26";"7";"182";"CHEMBL_28";"2021-01-15"
"CHEMBL4513157";"";"40";"CO-ADD Antimicrobial Screening";"CO-ADD screening of Universitat de Barcelona (Spain) compounds";"";"10.6019/CHEMBL4513157";"";"Johannes Zuegg, Alysha Elliott, Maite Amado, Emma Cowie, Ali Hinton, Geraldine Kaeslin, Angela Kavanagh, Anne Kunert, Gabriell Lowe, Soumya Ramu, Janet Reid, Robin Trauer, Mathilde Desselle, Ruth Neale, Karl Hansford, Mark Blascovich, Matthew Cooper";"";"";"";"";"";"DATASET";"This data set was generated by screening Universitat de Barcelona compounds in the CO-ADD assays. CO-ADD, The Community for Open Antimicrobial Drug Discovery, is a global open-access screening initiative launched in February 2015 to uncover significant and rich chemical diversity held outside of corporate screening collections. CO-ADD provides unencumbered free antimicrobial screening for any interested academic researcher.  CO-ADD has been recognised as a novel approach in the fight against superbugs by the Wellcome Trust, who have provided funding through their Strategic Awards initiative (for more information on CO-ADD see: Helping Chemists Discover New Antibiotics (2015) Mark A. Blaskovich, Johannes Zuegg, Alysha G. Elliott, Matthew A. Cooper, DOI:10.1021/acsinfecdis.5b00044).";"4";"8";"32";"CHEMBL_28";"2021-01-15"
"CHEMBL5606458";"";"71";"AI-driven Structure-enabled Antiviral Platform (ASAP)";"ASAP - ZIKV NS2B-NS3 protease fluorescence single point";"";"10.6019/CHEMBL5606458";"";"ASAP Discovery Consortium";"2024";"";"";"";"";"DATASET";"According to the assay cascade defined by the AI-driven Structure-enabled Antiviral Platform (ASAP, https://asapdiscovery.org) which contains assays and progression criteria used by the drug discovery program, this dataset includes ZIKV NS2B-NS3 protease fluorescence single point data.";"2771";"1";"4969";"CHEMBL_36";"2025-07-28"
"CHEMBL5441456";"";"71";"AI-driven Structure-enabled Antiviral Platform (ASAP)";"ASAP - SARS-CoV-2 nsp3 macrodomain dose response";"";"10.6019/CHEMBL5441456";"";"ASAP Discovery Consortium";"2024";"";"";"";"";"DATASET";"According to the assay cascade defined by the AI-driven Structure-enabled Antiviral Platform (ASAP, https://asapdiscovery.org) which contains assays and progression criteria used by the drug discovery program, this dataset includes SARS-CoV-2 nsp3 macrodomain dose response data.";"765";"1";"1479";"CHEMBL_35";"2024-12-01"
"CHEMBL5442741";"";"71";"AI-driven Structure-enabled Antiviral Platform (ASAP)";"ASAP - In vitro kinase profile";"";"10.6019/CHEMBL5442741";"";"ASAP Discovery Consortium";"2024";"";"";"";"";"DATASET";"According to the assay cascade defined by the AI-driven Structure-enabled Antiviral Platform (ASAP, https://asapdiscovery.org) which contains assays and progression criteria used by the drug discovery program, this dataset includes in vitro kinase profiling data.";"12";"58";"754";"CHEMBL_35";"2024-12-01"
"CHEMBL5724558";"";"55";"EUbOPEN Chemogenomic Library";"Image-based profiling of drug vulnerabilities in CRC organoids";"";"10.6019/CHEMBL5724558";"";"EUbOPEN";"2024";"";"";"";"";"DATASET";"This study presents a semi-automated image-based platform for profiling drug vulnerabilities in colorectal cancer (CRC) organoids. Using patient-derived tumor organoids, the approach captures individual drug response profiles by combining image-based and luminescence readouts. Results indicate strong correlation between these methods, facilitating robust, patient-specific drug sensitivity analysis. This platform provides a valuable tool for identifying therapeutic targets and addressing drug resistance in CRC.";"368";"1";"4440";"CHEMBL_36";"2025-07-28"
"CHEMBL5303762";"";"54";"SGC Frankfurt - Donated Chemical Probes";"Data for DCP probe BI-8668";"";"10.6019/CHEMBL5303762";"";"SGC Frankfurt";"2023";"";"";"";"";"DATASET";"SGC Frankfurt donated chemical probe project: BI-8668 was donated by Boehringer Ingelheim. Website: https://www.sgc-ffm.uni-frankfurt.de/#!specificprobeoverview/BI-8668. Control: BI-0337. References: not published";"2";"69";"193";"CHEMBL_34";"2024-03-28"
"CHEMBL5674850";"";"71";"AI-driven Structure-enabled Antiviral Platform (ASAP)";"ASAP - Solubility";"";"10.6019/CHEMBL5674850";"";"ASAP Discovery Consortium";"2024";"";"";"";"";"DATASET";"According to the assay cascade defined by the AI-driven Structure-enabled Antiviral Platform (ASAP, https://asapdiscovery.org) which contains assays and progression criteria used by the drug discovery program, this dataset includes solubility data.";"112";"1";"117";"CHEMBL_36";"2025-07-28"
"CHEMBL5058645";"";"54";"SGC Frankfurt - Donated Chemical Probes";"Data for DCP probe JNJ-6204";"";"10.6019/CHEMBL5058645";"";"SGC Frankfurt";"2022";"";"";"";"";"DATASET";"SGC Frankfurt donated chemical probe project: JNJ-6204 was donated by Johnson & Johnson. Website: https://www.sgc-ffm.uni-frankfurt.de/#!specificprobeoverview/JNJ-6204. Control: JNJ-0293. References: 1. McCarver, Stefan, Luke Hanna, Andrew Samant, Aaron A. Thompson, Mark Seierstad, Arjun Saha, Dongpei Wu, Brian Lord, Steven W. Sutton, Vishal Shah, Cynthia M. Milligan, Michelle Wennerholm, Jonathan Shelton, Terry P. Lebold, and Brock T. Shireman. 2024. ‘Structure-Based Optimization of Selective and Brain Penetrant CK1δ Inhibitors for the Treatment of Circadian Disruptions’. ACS Medicinal Chemistry Letters 15(4):486–92. PMID: 38628796 (Compound 21).";"2";"408";"485";"CHEMBL_32";"2023-01-26"
"CHEMBL5058642";"";"54";"SGC Frankfurt - Donated Chemical Probes";"Data for DCP probe TP-051";"";"10.6019/CHEMBL5058642";"";"SGC Frankfurt";"2022";"";"";"";"";"DATASET";"SGC Frankfurt donated chemical probe project: TP-051 was donated by Takeda. Website: https://www.sgc-ffm.uni-frankfurt.de/#!specificprobeoverview/TP-051. Control: TP-051n. References: 1. Mikami, Satoshi, Shuji Kitamura, Nobuyuki Negoro, Shinobu Sasaki, Masami Suzuki, Yoshiyuki Tsujihata, Takeshi Miyazaki, Ryo Ito, Nobuhiro Suzuki, Junichi Miyazaki, Takashi Santou, Naoyuki Kanzaki, Miyuki Funami, Toshimasa Tanaka, Tsuneo Yasuma, and Yu Momose. 2012. ‘Discovery of Phenylpropanoic Acid Derivatives Containing Polar Functionalities as Potent and Orally Bioavailable G Protein-Coupled Receptor 40 Agonists for the Treatment of Type 2 Diabetes’. Journal of Medicinal Chemistry 55(8):3756–76. PMID: 22428944 (Compound 31).";"2";"114";"296";"CHEMBL_32";"2023-01-26"
"CHEMBL4513101";"";"34";"Medicines for Malaria Venture (MMV) Pathogen Box";"Naegleria gruberi Pathogen Box compounds screening";"";"10.6019/CHEMBL4513101";"";"Sarink, M; Mykytyn, A; Tielens, A; van Hellemond, J";"";"";"";"";"";"DATASET";"400 compounds from the Pathogen box were screened for inhibitory activity against Naegleria gruberi strain NEG-M. N. gruberi was grown in modified PYNFH medium  in 96-wells plates. Compounds were added in 10 uM concentrations in triplicate wells. Optical density was measured daily, after 6 days area under the curve was calculated and compared to 0.1 % DMSO control.";"399";"1";"399";"CHEMBL_28";"2021-01-15"
"CHEMBL4513134";"";"40";"CO-ADD Antimicrobial Screening";"CO-ADD screening of University of Queensland (Australia) compounds";"";"10.6019/CHEMBL4513134";"";"Johannes Zuegg, Alysha Elliott, Maite Amado, Emma Cowie, Ali Hinton, Geraldine Kaeslin, Angela Kavanagh, Anne Kunert, Gabriell Lowe, Soumya Ramu, Janet Reid, Robin Trauer, Mathilde Desselle, Ruth Neale, Karl Hansford, Mark Blascovich, Matthew Cooper";"";"";"";"";"";"DATASET";"This data set was generated by screening University of Queensland compounds in the CO-ADD assays. CO-ADD, The Community for Open Antimicrobial Drug Discovery, is a global open-access screening initiative launched in February 2015 to uncover significant and rich chemical diversity held outside of corporate screening collections. CO-ADD provides unencumbered free antimicrobial screening for any interested academic researcher.  CO-ADD has been recognised as a novel approach in the fight against superbugs by the Wellcome Trust, who have provided funding through their Strategic Awards initiative (for more information on CO-ADD see: Helping Chemists Discover New Antibiotics (2015) Mark A. Blaskovich, Johannes Zuegg, Alysha G. Elliott, Matthew A. Cooper, DOI:10.1021/acsinfecdis.5b00044).";"65";"8";"250";"CHEMBL_28";"2021-01-15"
"CHEMBL4513142";"";"40";"CO-ADD Antimicrobial Screening";"CO-ADD screening of Indiana University - Purdue University Indianapolis (USA) compounds";"";"10.6019/CHEMBL4513142";"";"Johannes Zuegg, Alysha Elliott, Maite Amado, Emma Cowie, Ali Hinton, Geraldine Kaeslin, Angela Kavanagh, Anne Kunert, Gabriell Lowe, Soumya Ramu, Janet Reid, Robin Trauer, Mathilde Desselle, Ruth Neale, Karl Hansford, Mark Blascovich, Matthew Cooper";"";"";"";"";"";"DATASET";"This data set was generated by screening Indiana University - Purdue University Indianapolis compounds in the CO-ADD assays. CO-ADD, The Community for Open Antimicrobial Drug Discovery, is a global open-access screening initiative launched in February 2015 to uncover significant and rich chemical diversity held outside of corporate screening collections. CO-ADD provides unencumbered free antimicrobial screening for any interested academic researcher.  CO-ADD has been recognised as a novel approach in the fight against superbugs by the Wellcome Trust, who have provided funding through their Strategic Awards initiative (for more information on CO-ADD see: Helping Chemists Discover New Antibiotics (2015) Mark A. Blaskovich, Johannes Zuegg, Alysha G. Elliott, Matthew A. Cooper, DOI:10.1021/acsinfecdis.5b00044).";"30";"7";"350";"CHEMBL_28";"2021-01-15"
"CHEMBL4513139";"";"40";"CO-ADD Antimicrobial Screening";"CO-ADD screening of University of Strathclyde (UK) compounds";"";"10.6019/CHEMBL4513139";"";"Johannes Zuegg, Alysha Elliott, Maite Amado, Emma Cowie, Ali Hinton, Geraldine Kaeslin, Angela Kavanagh, Anne Kunert, Gabriell Lowe, Soumya Ramu, Janet Reid, Robin Trauer, Mathilde Desselle, Ruth Neale, Karl Hansford, Mark Blascovich, Matthew Cooper";"";"";"";"";"";"DATASET";"This data set was generated by screening University of Strathclyde compounds in the CO-ADD assays. CO-ADD, The Community for Open Antimicrobial Drug Discovery, is a global open-access screening initiative launched in February 2015 to uncover significant and rich chemical diversity held outside of corporate screening collections. CO-ADD provides unencumbered free antimicrobial screening for any interested academic researcher.  CO-ADD has been recognised as a novel approach in the fight against superbugs by the Wellcome Trust, who have provided funding through their Strategic Awards initiative (for more information on CO-ADD see: Helping Chemists Discover New Antibiotics (2015) Mark A. Blaskovich, Johannes Zuegg, Alysha G. Elliott, Matthew A. Cooper, DOI:10.1021/acsinfecdis.5b00044).";"144";"8";"1155";"CHEMBL_28";"2021-01-15"
"CHEMBL4513138";"";"40";"CO-ADD Antimicrobial Screening";"CO-ADD screening of University of Mosul (Iraq) compounds";"";"10.6019/CHEMBL4513138";"";"Johannes Zuegg, Alysha Elliott, Maite Amado, Emma Cowie, Ali Hinton, Geraldine Kaeslin, Angela Kavanagh, Anne Kunert, Gabriell Lowe, Soumya Ramu, Janet Reid, Robin Trauer, Mathilde Desselle, Ruth Neale, Karl Hansford, Mark Blascovich, Matthew Cooper";"";"";"";"";"";"DATASET";"This data set was generated by screening University of Mosul compounds in the CO-ADD assays. CO-ADD, The Community for Open Antimicrobial Drug Discovery, is a global open-access screening initiative launched in February 2015 to uncover significant and rich chemical diversity held outside of corporate screening collections. CO-ADD provides unencumbered free antimicrobial screening for any interested academic researcher.  CO-ADD has been recognised as a novel approach in the fight against superbugs by the Wellcome Trust, who have provided funding through their Strategic Awards initiative (for more information on CO-ADD see: Helping Chemists Discover New Antibiotics (2015) Mark A. Blaskovich, Johannes Zuegg, Alysha G. Elliott, Matthew A. Cooper, DOI:10.1021/acsinfecdis.5b00044).";"4";"8";"32";"CHEMBL_28";"2021-01-15"
"CHEMBL5209897";"";"65";"EUbOPEN Chemogenomic Library Literature Data";"Affinity Phenotypic Cellular Literature for EUbOPEN Chemogenomics Library wave 3";"";"10.6019/CHEMBL5209897";"";"EUbOPEN";"2023";"";"";"";"";"DATASET";"Affinity Phenotypic Cellular Literature for EUbOPEN Chemogenomics Library wave 3. This dataset records the bioactivity of chemical probes and their negative controls and is extracted from the published literature. The corresponding references for each datapoint can be found in the activity_properties table.";"136";"138";"223";"CHEMBL_33";"2023-05-31"
"CHEMBL5210121";"";"65";"EUbOPEN Chemogenomic Library Literature Data";"Affinity On-target Cellular Literature for EUbOPEN Chemogenomics Library wave 3";"";"10.6019/CHEMBL5210121";"";"EUbOPEN";"2023";"";"";"";"";"DATASET";"Affinity On-target Cellular Literature for EUbOPEN Chemogenomics Library wave 3. This dataset records the bioactivity of chemical probes and their negative controls and is extracted from the published literature. The corresponding references for each datapoint can be found in the activity_properties table.";"131";"104";"185";"CHEMBL_33";"2023-05-31"
"CHEMBL5210307";"";"65";"EUbOPEN Chemogenomic Library Literature Data";"Affinity Biochemical Literature for EUbOPEN Chemogenomics Library wave 3";"";"10.6019/CHEMBL5210307";"";"EUbOPEN";"2023";"";"";"";"";"DATASET";"Affinity Biochemical Literature for EUbOPEN Chemogenomics Library wave 3. This dataset records the bioactivity of chemical probes and their negative controls and is extracted from the published literature. The corresponding references for each datapoint can be found in the activity_properties table.";"207";"177";"325";"CHEMBL_33";"2023-05-31"
"CHEMBL4495564";"";"52";"SARS-CoV-2 Screening Data";"Identification of inhibitors of SARS-Cov2 M-Pro enzymatic activity using a small molecule repurposing screen";"";"10.6019/CHEMBL4495564";"";"Maria Kuzikov, Elisa Costanzi, Jeanette Reinshagen, Francesca Esposito, Laura Vangeel, Markus Wolf, Bernhard Ellinger, Carsten Claussen, Gerd Geisslinger, Angela Corona, Daniela Iaconis, Carmine Talarico, Candida Manelfi, Rolando Cannalire, Giulia Rossetti, Jonas Gossen, Simone Albani, Francesco Musiani, Katja Herzog, Yang Ye, Barbara Giabbai, Nicola Demitri, Dirk Jochmans, Steven De Jonghe, Jasper Rymenants, Vincenzo Summa, Enzo Tramontano, Andrea R. Beccari, Pieter Leyssen, Paola Storici, Johan Neyts, Philip Gribbon, and Andrea Zaliani";"2020";"";"";"";"";"DATASET";"Compound repurposing is an important strategy being pursued in the identification of effective treatment against the SARS-CoV-2 infection and COVID-19 disease. In this regard, SARS-CoV-2 main protease (M-Pro), also termed 3CL-Pro, is an attractive drug target as it plays a central role in viral replication by processing the viral polyprotein into 11 non-structural proteins. We report the results of a screening campaign involving ca 8.7 K compounds containing marketed drugs, clinical and preclinical candidates, and chemicals regarded as safe in humans. We confirmed previously reported inhibitors of 3CL-Pro, but we have also identified 68 compounds with IC50 lower than 1 uM and 127 compounds with IC50 lower than 5 uM. Profiling showed 67% of confirmed hits were selective (> 5 fold) against other Cys- and Ser- proteases (Chymotrypsin and Cathepsin-L) and MERS 3CL-Pro. Selected compounds were also analysed in their binding characteristics.";"7162";"3";"9029";"CHEMBL_28";"2021-01-15"
"CHEMBL4513136";"";"40";"CO-ADD Antimicrobial Screening";"CO-ADD screening of CSIC (Spain) compounds";"";"10.6019/CHEMBL4513136";"";"Johannes Zuegg, Alysha Elliott, Maite Amado, Emma Cowie, Ali Hinton, Geraldine Kaeslin, Angela Kavanagh, Anne Kunert, Gabriell Lowe, Soumya Ramu, Janet Reid, Robin Trauer, Mathilde Desselle, Ruth Neale, Karl Hansford, Mark Blascovich, Matthew Cooper";"";"";"";"";"";"DATASET";"This data set was generated by screening CSIC compounds in the CO-ADD assays. CO-ADD, The Community for Open Antimicrobial Drug Discovery, is a global open-access screening initiative launched in February 2015 to uncover significant and rich chemical diversity held outside of corporate screening collections. CO-ADD provides unencumbered free antimicrobial screening for any interested academic researcher.  CO-ADD has been recognised as a novel approach in the fight against superbugs by the Wellcome Trust, who have provided funding through their Strategic Awards initiative (for more information on CO-ADD see: Helping Chemists Discover New Antibiotics (2015) Mark A. Blaskovich, Johannes Zuegg, Alysha G. Elliott, Matthew A. Cooper, DOI:10.1021/acsinfecdis.5b00044).";"26";"7";"182";"CHEMBL_28";"2021-01-15"
"CHEMBL4513143";"";"40";"CO-ADD Antimicrobial Screening";"CO-ADD screening of University of Natural Resources and Life (Austria) compounds";"";"10.6019/CHEMBL4513143";"";"Johannes Zuegg, Alysha Elliott, Maite Amado, Emma Cowie, Ali Hinton, Geraldine Kaeslin, Angela Kavanagh, Anne Kunert, Gabriell Lowe, Soumya Ramu, Janet Reid, Robin Trauer, Mathilde Desselle, Ruth Neale, Karl Hansford, Mark Blascovich, Matthew Cooper";"";"";"";"";"";"DATASET";"This data set was generated by screening University of Natural Resources and Life compounds in the CO-ADD assays. CO-ADD, The Community for Open Antimicrobial Drug Discovery, is a global open-access screening initiative launched in February 2015 to uncover significant and rich chemical diversity held outside of corporate screening collections. CO-ADD provides unencumbered free antimicrobial screening for any interested academic researcher.  CO-ADD has been recognised as a novel approach in the fight against superbugs by the Wellcome Trust, who have provided funding through their Strategic Awards initiative (for more information on CO-ADD see: Helping Chemists Discover New Antibiotics (2015) Mark A. Blaskovich, Johannes Zuegg, Alysha G. Elliott, Matthew A. Cooper, DOI:10.1021/acsinfecdis.5b00044).";"11";"7";"77";"CHEMBL_28";"2021-01-15"
"CHEMBL5724914";"";"69";"EMBL Heidelberg Gut Microbiome Host Interactions";"Linking interpersonal differences in gut microbiota composition and drug biotransformation activity";"";"10.5281/zenodo.13943903";"";"Eleonora Mastrorilli, Pamela Herd, Federico E. Rey, Andrew L. Goodman, Michael Zimmermann";"2024";"";"";"";"";"DATASET";"Individuals vary widely in their response to medical drugs, and growing evidence implicates the gut microbiome, together with host genetics, in this interpersonal variation. Alarmingly, bacterial drug metabolism can modify drug activity and toxicity, causing altered drug response and adverse effects. However, the extent, the mechanisms and the implications for human health of microbiome drug modulation remain understudied and largely neglected in preclinical drug research. Previous works demonstrated that several drugs can be metabolized by individual gut bacteria, thus raising the question of how these results translate to complex microbial gut communities, and to what extent the interpersonal differences in microbiome composition impact microbial drug metabolism. In this study, we set up an experimental in vitro model to systematically assess the occurrence and extent of variation of drug metabolism of gut communities derived from humans and the most common preclinical animal models.";"271";"1";"22541";"CHEMBL_36";"2025-07-28"
"CHEMBL2303647";"";"16";"GSK Published Kinase Inhibitor Set";"Data associated with the publication PLoS ONE, 8(3), e57888, (2013) PMID: 23505445. Compounds: GSK PKIS; Assays: NIH NCATS";"";"";"";"";"";"";"";"";"";"DATASET";"";"366";"2";"734";"CHEMBL_17";"2013-08-29"
"CHEMBL4800724";"";"54";"SGC Frankfurt - Donated Chemical Probes";"Data for DCP probe 8RK64";"";"10.6019/CHEMBL4800724";"";"SGC Frankfurt";"2021";"";"";"";"";"DATASET";"SGC Frankfurt donated chemical probe project: 8RK64 was donated by Leiden University Medical Center. Website: https://www.sgc-ffm.uni-frankfurt.de/#!specificprobeoverview/8RK64. Control: JYQ88. References: 1. Kooij, Raymond, Sijia Liu, Aysegul Sapmaz, Bo-Tao Xin, George M. C. Janssen, Peter A. van Veelen, Huib Ovaa, Peter Ten Dijke, and Paul P. Geurink. 2020. ‘Small-Molecule Activity-Based Probe for Monitoring Ubiquitin C-Terminal Hydrolase L1 (UCHL1) Activity in Live Cells and Zebrafish Embryos’. Journal of the American Chemical Society 142(39):16825–41. PMID: 32886496.";"2";"48";"101";"CHEMBL_30";"2022-02-22"
"CHEMBL4507260";"";"54";"SGC Frankfurt - Donated Chemical Probes";"Data for DCP probe ABT-724";"";"10.6019/CHEMBL4507260";"";"SGC Frankfurt";"2021";"";"";"";"";"DATASET";"SGC Frankfurt donated chemical probe project: ABT-724 was donated by Abbvie. Website: https://www.sgc-ffm.uni-frankfurt.de/#!specificprobeoverview/ABT-724. Control: A-769. References: 1. Brioni, Jorge D, Robert B Moreland, Marlon Cowart, Gin C Hsieh, Andrew O Stewart, Petter Hedlund, Diana L Donnelly-Roberts, Masaki Nakane, James J Lynch, Teodozyi Kolasa, James S Polakowski, Mark A Osinski, Kennan Marsh, Karl-Erik Andersson, and James P Sullivan. 2004. ‘Activation of Dopamine D4 Receptors by ABT-724 Induces Penile Erection in Rats’. Proceedings of the National Academy of Sciences of the United States of America 101(17):6758–63. PMID: 15087502. 2. Cowart, Marlon, Steven P Latshaw, Pramila Bhatia, Jerome F Daanen, Jeffrey Rohde, Sherry L Nelson, Meena Patel, Teodozyi Kolasa, Masaki Nakane, Marie E Uchic, Loan N Miller, Marc A Terranova, Renjie Chang, Diana L Donnelly-Roberts, Marian T Namovic, Peter R Hollingsworth, Brenda R Martino, James J Lynch, James P Sullivan, Gin C Hsieh, Robert B Moreland, Jorge D Brioni, and Andrew O Stewart. 2004. ‘Discovery of 2-(4-Pyridin-2-Ylpiperazin-1-Ylmethyl)-1H-Benzimidazole (ABT-724), a Dopaminergic Agent with a Novel Mode of Action for the Potential Treatment of Erectile Dysfunction’. Journal of Medicinal Chemistry 47(15):3853–64. PMID: 15239663.";"2";"467";"1029";"CHEMBL_28";"2021-01-15"
"CHEMBL4507291";"";"54";"SGC Frankfurt - Donated Chemical Probes";"Data for DCP probe MLi-2";"";"10.6019/CHEMBL4507291";"";"SGC Frankfurt";"2021";"";"";"";"";"DATASET";"SGC Frankfurt donated chemical probe project: MLi-2 was donated by MSD. Website: https://www.sgc-ffm.uni-frankfurt.de/#!specificprobeoverview/MLi-2. Control: MLi-2-NC. References: 1. Scott, Jack D, Duane E DeMong, Thomas J Greshock, Kallol Basu, Xing Dai, Joel Harris, Alan Hruza, Sarah W Li, Sue-Ing Lin, Hong Liu, Megan K Macala, Zhiyong Hu, Hong Mei, Honglu Zhang, Paul Walsh, Marc Poirier, Zhi-Cai Shi, Li Xiao, Gautam Agnihotri, Marco A S Baptista, John Columbus, Matthew J Fell, Lynn A Hyde, Reshma Kuvelkar, Yinghui Lin, Christian Mirescu, John A Morrow, Zhizhang Yin, Xiaoping Zhang, Xiaoping Zhou, Ronald K Chang, Mark W Embrey, John M Sanders, Heather E Tiscia, Robert E Drolet, Jonathan T Kern, Sylvie M Sur, John J Renger, Mark T Bilodeau, Matthew E Kennedy, Eric M Parker, Andrew W Stamford, Ravi Nargund, John A McCauley, and Michael W Miller. 2017. ‘Discovery of a 3-(4-Pyrimidinyl) Indazole (MLi-2), an Orally Available and Selective Leucine-Rich Repeat Kinase 2 (LRRK2) Inhibitor That Reduces Brain Kinase Activity’. Journal of Medicinal Chemistry 60(7):2983–92. PMID: 28245354. 2. Fell, Matthew J, Christian Mirescu, Kallol Basu, Boonlert Cheewatrakoolpong, Duane E DeMong, J Michael Ellis, Lynn A Hyde, Yinghui Lin, Carrie G Markgraf, Hong Mei, Michael Miller, Frederique M Poulet, Jack D Scott, Michelle D Smith, Zhizhang Yin, Xiaoping Zhou, Eric M Parker, Matthew E Kennedy, and John A Morrow. 2015. ‘MLi-2, a Potent, Selective, and Centrally Active Compound for Exploring the Therapeutic Potential and Safety of LRRK2 Kinase Inhibition’. The Journal of Pharmacology and Experimental Therapeutics 355(3):397–409. PMID: 26407721 .";"2";"532";"1493";"CHEMBL_28";"2021-01-15"
